Year,Australian Open,French Open,Wimbledon,US Open,Total
1974,0,0,0,0,0
1975,0,0,0,0,0
1976,0,0,0,0,0
1977,0,0,0,0,0
1978,0,0,0,0,0
1979,0,0,0,0,0
1980,0,0,0,0,0
1981,0,0,0,0,0
1982,0,0,0,0,0
1983,0,0,0,0,0
1984,0,1,0,0,1
1985,0,1,0,1,2
1986,0,2,0,2,4
1987,0,3,0,3,6
1988,0,3,0,3,6
1989,1,3,0,3,7
1990,2,3,0,3,8
