Year,Australian Open,French Open,Wimbledon,US Open,Total
1974,0,0,0,0,0
1975,0,0,0,0,0
1976,0,0,0,0,0
1977,0,0,0,0,0
1978,0,0,0,0,0
1979,0,0,0,1,1
1980,0,0,0,2,2
1981,0,0,1,3,4
1982,0,0,1,3,4
1983,0,0,2,3,5
1984,0,0,3,4,7
1985,0,0,3,4,7
1986,0,0,3,4,7
1987,0,0,3,4,7
1988,0,0,3,4,7
1989,0,0,3,4,7
1990,0,0,3,4,7
