Year,Australian Open,French Open,Wimbledon,US Open,Total
1985,0,0,1,0,1
1986,0,0,2,0,2
1987,0,0,2,0,2
1988,0,0,2,0,2
1989,0,0,3,1,4
1990,0,0,3,1,4
1991,1,0,3,1,5
1992,1,0,3,1,5
1993,1,0,3,1,5
1994,1,0,3,1,5
1995,1,0,3,1,5
1996,2,0,3,1,6
1997,2,0,3,1,6
1998,2,0,3,1,6
1999,2,0,3,1,6
2000,2,0,3,1,6
2001,2,0,3,1,6
2002,2,0,3,1,6
2003,2,0,3,1,6
