Year,Australian Open,French Open,Wimbledon,US Open,Total
1985,0,0,0,0,0
1986,0,0,0,0,0
1987,0,0,0,0,0
1988,0,0,0,0,0
1989,0,0,0,0,0
1990,0,0,0,0,0
1991,0,0,0,0,0
1992,0,0,1,0,1
1993,0,0,1,0,1
1994,0,0,1,1,2
1995,1,0,1,1,3
1996,1,0,1,1,3
1997,1,0,1,1,3
1998,1,0,1,1,3
1999,1,1,1,2,5
2000,2,1,1,2,6
2001,3,1,1,2,7
2002,3,1,1,2,7
2003,4,1,1,2,8
