Year,Australian Open,French Open,Wimbledon,US Open,Total
1985,1,0,0,0,1
1986,1,0,0,0,1
1987,2,0,0,0,2
1988,2,0,1,0,3
1989,2,0,1,0,3
1990,2,0,2,0,4
1991,2,0,2,1,5
1992,2,0,2,2,6
1993,2,0,2,2,6
1994,2,0,2,2,6
1995,2,0,2,2,6
1996,2,0,2,2,6
1997,2,0,2,2,6
1998,2,0,2,2,6
1999,2,0,2,2,6
2000,2,0,2,2,6
2001,2,0,2,2,6
2002,2,0,2,2,6
2003,2,0,2,2,6
